d_over_a,xi_over_a,theta_degrees,sites_per_layer,intralayer_second_moment,interlayer_second_moment,total_second_moment,identity_absolute_error
0.98,0.03,45.0,1510,2.9284768211920613,0.2681624924386528,3.196639313630714,5.551115123125783e-17
0.98,0.03,46.49999999999999,1510,2.9284768211920613,0.2834378944920178,3.2119147156840793,1.6653345369377348e-16
0.98,0.03,48.0,1510,2.9284768211920613,0.26466264600138206,3.193139467193444,4.996003610813204e-16
0.98,0.03,49.5,1510,2.9284768211920613,0.2836285564752848,3.212105377667348,1.7208456881689926e-15
0.98,0.03,50.99999999999999,1510,2.9284768211920613,0.2735529313641943,3.2020297525562547,9.43689570931383e-16
0.98,0.03,52.5,1510,2.9284768211920613,0.2598925284122923,3.188369349604354,4.996003610813204e-16
0.98,0.03,54.0,1510,2.9284768211920613,0.2657333340991203,3.1942101552911812,3.885780586188048e-16
0.98,0.03,55.49999999999999,1510,2.9284768211920613,0.27295751678898106,3.201434337981041,1.5543122344752192e-15
0.98,0.03,57.0,1510,2.9284768211920613,0.3282436607540856,3.2567204819461475,5.551115123125783e-16
0.98,0.03,58.5,1510,2.9284768211920613,0.13460477909465468,3.0630816002867154,6.106226635438361e-16
0.98,0.03,59.99999999999999,1510,2.9284768211920613,1.9018586730413012,4.8303354942333625,0.0
0.97,0.03,0.0,1510,2.9284768211920613,7.389056098942781,10.317532920134843,0.0
0.97,0.03,1.5,1510,2.9284768211920613,0.513087955308594,3.4415647765006554,1.1102230246251565e-16
0.97,0.03,3.0,1510,2.9284768211920613,0.5072059660830847,3.4356827872751463,3.3306690738754696e-16
0.97,0.03,4.5,1510,2.9284768211920613,0.6059995632771834,3.5344763844692437,9.992007221626409e-16
0.97,0.03,6.0,1510,2.9284768211920613,0.5056691671983661,3.434145988390427,5.551115123125783e-16
0.97,0.03,7.499999999999999,1510,2.9284768211920613,0.5119112837282185,3.44038810492028,2.220446049250313e-16
0.97,0.03,9.0,1510,2.9284768211920613,0.5306089199934624,3.459085741185524,3.3306690738754696e-16
0.97,0.03,10.499999999999998,1510,2.9284768211920613,0.5253830856105226,3.4538599068025833,6.661338147750939e-16
0.97,0.03,12.0,1510,2.9284768211920613,0.5149353315003229,3.443412152692384,2.220446049250313e-16
0.97,0.03,13.5,1510,2.9284768211920613,0.4899668890047156,3.418443710196777,5.551115123125783e-17
0.97,0.03,14.999999999999998,1510,2.9284768211920613,0.5342107840894714,3.462687605281533,4.440892098500626e-16
0.97,0.03,16.499999999999996,1510,2.9284768211920613,0.549865812462936,3.478342633654996,1.2212453270876722e-15
0.97,0.03,18.0,1510,2.9284768211920613,0.5305486061247792,3.4590254273168397,7.771561172376096e-16
0.97,0.03,19.5,1510,2.9284768211920613,0.5197110313798605,3.4481878525719223,4.440892098500626e-16
0.97,0.03,20.999999999999996,1510,2.9284768211920613,0.5198974505766856,3.4483742717687473,4.440892098500626e-16
0.97,0.03,22.5,1510,2.9284768211920613,0.4961116414863643,3.4245884626784258,1.6653345369377348e-16
0.97,0.03,24.0,1510,2.9284768211920613,0.5222944985378323,3.4507713197298937,1.1102230246251565e-16
0.97,0.03,25.499999999999996,1510,2.9284768211920613,0.5210391290776433,3.449515950269704,4.440892098500626e-16
0.97,0.03,27.0,1510,2.9284768211920613,0.5136008111824404,3.442077632374501,6.661338147750939e-16
0.97,0.03,28.5,1510,2.9284768211920613,0.5090955973038421,3.437572418495904,5.551115123125783e-16
0.97,0.03,29.999999999999996,1510,2.9284768211920613,0.5241717938661652,3.4526486150582265,0.0
0.97,0.03,31.5,1510,2.9284768211920613,0.5354624449834972,3.463939266175559,3.3306690738754696e-16
0.97,0.03,32.99999999999999,1510,2.9284768211920613,0.5309758847767486,3.4594527059688107,7.771561172376096e-16
